Q,A,label
결혼하면 좋을까,서로 노력하면 행복할 거예요.,0
결혼하면 행복할까?,서로 노력하면 행복할 거예요.,0
결혼하면 행복해?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,0
결혼하면 행복해질까?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,0
결혼할까,능력이 있으면 하면 되죠.,0
결혼해도 되나,능력이 있으면 하면 되죠.,0
결혼해도 될까,이사람이다 싶은 사람이랑 하세요.,0
결혼해야 하나,해봐요.,0
경쟁이 너무 치열해,점점 치열해지는 것 같아요.,0
계속 공부해도 될까,확신이 없나봐요.,0
계속 도전하는 거 귀찮아,안정적인 걸 좋아하나봐요.,0
계속 방학이면 좋을텐데,방학은 참 짧아요.,0
계속 보고 싶어,보러 가세요.,0
계속 보고 싶으면 어떡해?,보러 가세요.,0
계속 속이 진짜 안 좋아,계속 좋지 않으면 병원에 가보세요.,0
계속 엇갈리는 느낌,타이밍이 안 맞았나봐요.,0
계속 학생하고 싶어,이제 취업 하셔야죠.,0
계속 한숨만 나와,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.,0
고3은 공부만 해야겠지.,공부가 최우선이죠.,0
고3이니까 공부해야겠지,공부가 최우선이죠.,0
고구마 다이어트 해야지,너무 무리하지는 마세요.,0
고구마만 먹고 다이어트 해야지,너무 무리하지는 마세요.,0
고기 구워 먹고 싶다.,저기압에는 고기앞이죠.,0
고기 먹고 싶어,저기압에는 고기앞이죠.,0
고데기 망했어,연습이 필요해요.,0
고데기 했는데 망했어,연습이 필요해요.,0
고독한 밤,혼자가 아니에요.,0
고마운 사람들이 많아,인복이 많나봐요.,0
고무신 거꾸로 신으면 어쩌지,너무 걱정하지 마세요.,0
고민 있어,네 말씀하세요.,0
고민 좀 들어줄래,네 말씀하세요.,0
고백하고 후회하면 어떡하지,후회는 후회를 낳을뿐이에요. 용기 내세요.,0
고시원 너무 답답해,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.,0
고시원 답답해,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.,0
고시원에서 나가고 싶어,더 좋은 곳에서 살 수 있을 거예요.,0
고시원에서 탈출하고 싶어,더 좋은 곳에서 살 수 있을 거예요.,0
고양이 동영상 보는 중,완전 귀엽죠?,0
고양이 키우고 싶어,자신을 먼저 키우세요.,0
고양이 키우고 싶어,가족들과 상의해보세요.,0
고의는 아닌데 실수를 한 거 같아,용서를 구하세요.,0
고집 센 사람,피할 수 있으면 피하세요.,0
